,artist,title,song_id
62,7 Summers,Morgan Wallen,0Z0kNthq0sS4lvGz9SSlBF
63,POPSTAR (feat. Drake),DJ Khaled,6EDO9iiTtwNv6waLwa1UUq
64,Don't Need Friends (feat. Lil Baby),NAV,4x3mum2YGHtIBrgUKiNt4F
65,The Code (feat. Polo G),King Von,5NOUjBikzECEJyZMTxtErD
66,24 (feat. Lil Baby),Money Man,7v96VvFLS0wSYT8kewNLRy
67,U 2 Luv,Ne-Yo,3862MQcbNmghGJDfk8cOJi
68,Throat Baby (Go Baby),BRS Kash,31iqpzg1ZXLLgq0L5iIwLe
69,Wishing Well,Juice WRLD,6o3QUC5oAE4g6WxRIFcZtb
70,Hit Different,SZA,7Bar1kLTmsRmH6FCKKMEyU
71,Martin & Gina,Polo G,1VLtjHwRWOVJiE5Py7JxoQ
72,Don’t Stop (feat. Young Thug),Megan Thee Stallion,3yv7994DWTEk3ihwy75YBQ
73,GOOD TIME,Niko Moon,5Kpg1A7BOHpBbaT3H3xqd3
74,Champagne Night - From Songland,Lady A,48F2xnWq3LuzYWML327Z2r
75,TRAGIC (feat. Youngboy Never Broke Again & Internet Money),The Kid LAROI,13EW51DKru044OJDJ9Bm8o
76,All These Niggas (feat. Lil Durk),King Von,4g27tVPyGHi38dczFoJZZy
77,Golden,Harry Styles,45S5WTQEGOB1VHr1Q4FuPl
78,Heather,Conan Gray,4xqrdfXkTW4T0RauPLv3WA
79,motive (with Doja Cat),Ariana Grande,5GkQIP5mWPi4KZLLXeuFTT
80,Crazy Story - Remix,King Von,6V20oVETqPBJ4suIEoEkIY
81,Put Your Records On,Ritt Momney,6AGOKlMZWLCaEJGnaROtF9
82,ALWAYS DO,The Kid LAROI,3QCU8BT0zDS9LPVfEhRFEE
83,Young Wheezy (with Gunna),NAV,0bMyxvtbPa7HFemLjzw0xX
84,Runnin,21 Savage,5SWnsxjhdcEDc7LJjq9UHk
85,Tap In,Saweetie,4Hpib09wXgD84w4uwTPnYD
86,hole in the bottle,Kelsea Ballerini,2EzFVkHWMMWmdwW08AlCK8
87,PRACTICE,DaBaby,4Z5FyQlevoHoa5FsIVKZju
88,BLIND (feat. Young Thug),DaBaby,2T5NBwKRySiCR78vVk08vr
89,Relación - Remix,Sech,35UUpTmrcFXNIVIN26ujXl
90,Happy Does,Kenny Chesney,2v08cjj3Th8RpfJgluECcj
91,Kacey Talk,YoungBoy Never Broke Again,1SF8piqsZWn86DajVKih8F
92,Beers And Sunshine,Darius Rucker,36ISlLb12gKuCCVTYXC0gb
93,Therefore I Am,Billie Eilish,54bFM56PmE4YLRnqpW6Tha
94,off the table (with The Weeknd),Ariana Grande,7E1jVNoWuemqUryI4FxsVD
95,Take You Dancing,Jason Derulo,59qrUpoplZxbIZxk6X0Bm3
96,Whoopty,CJ,5vGLcdRuSbUhD8ScwsGSdA
97,just like magic,Ariana Grande,7Dx9Z6Aon1qPS2N0rHSWTe
98,"F*CK YOU, GOODBYE (feat. Machine Gun Kelly)",The Kid LAROI,0DYNL4xbYWgNzppUamtyR4
99,La Tóxica,Farruko,15OjBeqNX3bShsGYQbteRv
