,artist,title,song_id,song
65,The Code (feat. Polo G),King Von,5NOUjBikzECEJyZMTxtErD,the code
66,24 (feat. Lil Baby),Money Man,7v96VvFLS0wSYT8kewNLRy,24
67,U 2 Luv,Ne-Yo,3862MQcbNmghGJDfk8cOJi,u 2 luv
68,Throat Baby (Go Baby),BRS Kash,31iqpzg1ZXLLgq0L5iIwLe,throat baby
69,Wishing Well,Juice WRLD,6o3QUC5oAE4g6WxRIFcZtb,wishing well
70,Hit Different,SZA,7Bar1kLTmsRmH6FCKKMEyU,hit different
71,Martin & Gina,Polo G,1VLtjHwRWOVJiE5Py7JxoQ,martin & gina
72,Don’t Stop (feat. Young Thug),Megan Thee Stallion,3yv7994DWTEk3ihwy75YBQ,don’t stop
73,GOOD TIME,Niko Moon,5Kpg1A7BOHpBbaT3H3xqd3,good time
74,Champagne Night - From Songland,Lady A,48F2xnWq3LuzYWML327Z2r,champagne night - from songland
75,TRAGIC (feat. Youngboy Never Broke Again & Internet Money),The Kid LAROI,13EW51DKru044OJDJ9Bm8o,tragic
76,All These Niggas (feat. Lil Durk),King Von,4g27tVPyGHi38dczFoJZZy,all these niggas
77,Golden,Harry Styles,45S5WTQEGOB1VHr1Q4FuPl,golden
78,Heather,Conan Gray,4xqrdfXkTW4T0RauPLv3WA,heather
79,motive (with Doja Cat),Ariana Grande,5GkQIP5mWPi4KZLLXeuFTT,motive
80,Crazy Story - Remix,King Von,6V20oVETqPBJ4suIEoEkIY,crazy story - remix
81,Put Your Records On,Ritt Momney,6AGOKlMZWLCaEJGnaROtF9,put your records on
82,ALWAYS DO,The Kid LAROI,3QCU8BT0zDS9LPVfEhRFEE,always do
83,Young Wheezy (with Gunna),NAV,0bMyxvtbPa7HFemLjzw0xX,young wheezy
84,Runnin,21 Savage,5SWnsxjhdcEDc7LJjq9UHk,runnin
85,Tap In,Saweetie,4Hpib09wXgD84w4uwTPnYD,tap in
86,hole in the bottle,Kelsea Ballerini,2EzFVkHWMMWmdwW08AlCK8,hole in the bottle
87,PRACTICE,DaBaby,4Z5FyQlevoHoa5FsIVKZju,practice
88,BLIND (feat. Young Thug),DaBaby,2T5NBwKRySiCR78vVk08vr,blind
